"","budget","release_date","sw_lang_en","sw_tagline","release_month","seasonality","countries_cnt","lang_RU","actor0_movies_cnt","actor1_movies_5y_cnt","sw_female_actor0","sw_male_actor0","actor0_prev_revenue","director_movies_cnt","genre_fantasy","genre_horror","genre_history","genre_crime","genre_mystery","genre_family","depart_Art","depart_Custom_Mkup","depart_Lighting","depart_Visual_Effects","depart_Camera_female","depart_Directing_female","depart_Production_female","depart_Writing_female"
"49",0,"24/03/2017",1,0,3,-7149862,1,0,35,0,"0","1","653428261",1,0,0,0,0,0,0,"4","6","0","0","0","0","1","0"
"50",3.8e+07,"17/11/1994",1,1,11,31944703,1,0,3,0,"0","1","35739755",0,0,0,0,0,0,0,"3","1","0","0","0","0","1","0"
"51",560000,"30/01/2008",0,0,1,-50746591,1,0,0,0,"1","0","NULL",0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"52",1.2e+07,"01/07/1965",1,1,7,40981593,1,0,2,1,"0","1","25000000",4,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"53",0,"24/06/1980",1,1,6,74205073,1,0,6,0,"0","1","76657000",0,0,0,0,0,0,1,"0","0","0","0","0","0","0","0"
"54",0,"15/01/1988",1,1,1,-50746591,1,0,5,0,"0","0","NULL",7,0,0,0,0,0,1,"0","1","0","0","0","0","0","0"
"55",2e+07,"19/02/2016",1,1,2,-15309317,1,0,0,3,"NULL","NULL","NULL",6,0,0,0,0,0,0,"4","1","0","0","0","0","0","0"
"56",0,"02/07/1993",1,1,7,40981593,1,0,2,1,"0","1","17514553",3,0,0,0,0,0,0,"0","0","0","0","0","0","0","1"
"57",0,"05/08/2009",0,0,8,-33273015,2,0,1,2,"1","0","NULL",0,0,0,0,0,0,0,"0","0","0","0","0","1","0","1"
"58",1.25e+08,"20/06/1997",1,1,6,74205073,2,0,3,6,"0","1","25836616",8,1,0,0,1,0,0,"16","9","6","6","0","0","2","0"
"59",0,"24/06/2008",1,0,6,74205073,1,0,0,0,"0","1","NULL",0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"60",1.4e+07,"08/03/2002",1,1,3,-7149862,1,0,7,3,"0","1","108000000",0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"61",1.5e+08,"14/11/2006",1,1,11,31944703,5,0,8,2,"0","1","82150642",5,0,0,0,0,0,0,"17","8","4","7","0","0","2","0"
"62",4e+06,"30/05/1956",1,1,5,21757736,1,0,1,0,"0","1","NULL",1,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"63",0,"16/01/1998",1,1,1,-50746591,1,0,12,3,"0","1","157387195",1,1,0,0,1,0,0,"7","8","0","1","0","0","1","0"
"64",5e+06,"28/07/1989",1,1,7,40981593,1,0,2,0,"0","1","12232628",0,0,1,0,0,0,0,"0","0","0","0","0","0","1","0"
"65",1.2e+07,"21/09/2013",1,1,9,-37667937,1,0,17,6,"1","0","91188905",5,0,0,0,0,0,0,"5","5","2","1","1","1","0","0"
"66",1500000,"26/02/1988",1,1,2,-15309317,1,0,2,0,"0","1","22812411",0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"67",1.2e+07,"14/01/2010",1,1,1,-50746591,1,0,25,6,"0","1","266728738",0,0,0,0,1,0,0,"2","1","0","0","0","0","1","0"
"68",0,"04/10/2013",0,0,10,-28659422,3,0,2,1,"0","1","1332231",0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"69",2e+06,"25/12/1962",1,0,12,32322910,1,0,9,0,"0","1","28900000",0,0,0,0,1,0,0,"4","6","0","0","0","0","1","2"
"70",8.5e+07,"03/06/2006",1,1,6,74205073,2,0,5,0,"0","1","173013509",1,0,0,0,1,0,0,"3","5","2","3","0","0","3","0"
"71",2.9e+07,"04/03/2005",1,1,3,-7149862,2,0,3,5,"0","1","NULL",0,1,0,0,0,1,0,"0","1","0","0","0","0","2","0"
"72",0,"06/02/2004",0,1,2,-15309317,8,0,1,0,"0","1","20908467",1,0,0,0,0,0,0,"1","2","0","0","0","0","1","0"
"73",1.1e+07,"05/04/1990",1,1,4,-28405871,1,0,3,0,"0","1","331816",1,0,0,0,0,0,0,"0","0","0","0","0","0","1","0"
"74",0,"30/03/2004",0,0,3,-7149862,1,0,0,0,"0","0","NULL",0,0,0,0,1,0,0,"0","0","0","0","0","0","0","0"
"75",445000,"31/03/1976",1,1,3,-7149862,1,0,0,0,"1","0","NULL",0,0,0,0,1,0,0,"1","3","0","0","0","0","0","0"
"76",1.7e+07,"18/08/2011",1,1,8,-33273015,2,0,5,7,"0","1","105178561",1,0,1,0,0,0,0,"0","0","1","0","0","0","1","1"
"77",5e+05,"05/05/2000",0,0,5,21757736,1,0,5,0,"0","1","500000",0,0,0,0,0,0,0,"0","0","0","0","0","0","0","1"
"78",6e+06,"25/07/1980",1,1,7,40981593,1,0,0,0,"0","1","NULL",0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"79",0,"18/12/1981",1,1,12,32322910,1,0,9,0,"0","1","126737428",1,0,0,0,1,0,0,"2","1","0","0","0","0","0","0"
"80",1500000,"15/09/2016",1,1,9,-37667937,2,0,4,1,"1","0","16829545",4,0,1,0,0,0,0,"6","10","0","4","0","1","3","0"
"81",1.5e+07,"14/12/2002",1,1,12,32322910,3,0,18,0,"0","1","152368585",6,0,0,0,1,0,0,"4","1","0","0","0","0","1","0"
"82",10284523,"21/10/2005",1,0,10,-28659422,1,0,18,4,"0","1","218613188",0,0,0,0,0,0,0,"2","0","0","0","0","0","2","0"
"83",4.3e+07,"29/07/2005",1,1,7,40981593,2,0,8,2,"1","0","151559",2,0,1,0,0,1,0,"16","8","6","6","0","0","3","0"
"84",2.8e+07,"06/12/1984",1,1,12,32322910,1,1,8,4,"0","1","470654000",1,0,0,0,0,0,0,"5","3","1","1","0","0","1","0"
"85",2e+06,"21/01/2011",1,1,1,-50746591,2,0,0,0,"1","0","NULL",1,0,1,0,0,1,0,"0","0","0","0","0","1","2","1"
"86",5e+07,"09/06/1995",1,1,6,74205073,1,0,3,1,"1","0","7286388",2,0,0,0,0,1,0,"0","0","0","0","0","0","1","0"
"87",8e+06,"18/12/1979",1,1,12,32322910,1,0,7,2,"0","1","70600000",0,0,0,0,0,0,0,"3","5","2","0","0","1","2","0"
"88",7500000,"30/01/1995",0,1,1,-50746591,1,0,7,0,"0","1","72179579",1,0,0,0,1,0,0,"0","0","0","0","0","0","0","0"
"89",2e+07,"31/03/2017",1,1,3,-7149862,3,0,18,1,"1","0","630161890",3,0,0,1,0,0,0,"1","1","0","0","0","1","4","0"
"90",0,"05/02/1993",1,1,2,-15309317,2,0,4,3,"1","0","NULL",0,0,0,0,0,1,0,"3","2","0","0","0","1","1","1"
"91",3e+07,"10/10/2003",1,1,10,-28659422,1,0,10,7,"1","0","238207122",4,0,0,0,1,0,0,"27","15","6","17","0","0","5","1"
"92",0,"16/03/2001",0,0,3,-7149862,1,0,0,0,"1","0","NULL",0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"93",3.5e+07,"20/09/1995",1,0,9,-37667937,1,0,2,0,"1","0","10006806",0,0,0,0,0,0,0,"0","0","0","0","0","0","0","1"
"94",0,"15/05/2008",1,1,5,21757736,1,0,0,0,"0","1","NULL",0,0,0,1,0,0,0,"0","0","0","0","0","0","0","0"
"95",1.5e+07,"16/05/2001",1,1,5,21757736,2,0,4,0,"1","0","163169",7,0,0,0,0,1,0,"3","1","0","0","1","0","1","0"
"96",0,"09/12/2012",0,0,12,32322910,1,1,12,0,"0","1","38862717",1,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"97",2500000,"14/11/2011",0,0,11,31944703,1,0,0,0,"0","1","NULL",0,0,0,0,0,0,0,"1","1","0","0","0","0","0","0"
"98",0,"26/06/2011",0,0,6,74205073,1,1,2,0,"0","1","5873871",0,1,0,0,0,0,0,"2","0","0","0","0","0","0","0"
"99",10500000,"31/08/2012",0,1,8,-33273015,1,0,1,0,"1","0","102984862",0,0,0,0,0,0,1,"0","0","0","0","0","0","0","1"
"100",6e+06,"15/04/1988",1,1,4,-28405871,1,0,5,2,"0","1","35856053",0,0,0,0,1,0,0,"1","0","0","0","0","0","1","0"
"101",7e+06,"26/01/1990",1,1,1,-50746591,1,0,4,0,"0","1","152427960",1,0,1,0,1,0,0,"5","6","0","1","0","0","1","0"
"102",6e+07,"11/12/2001",1,1,12,32322910,1,0,8,5,"0","1","60289912",11,0,0,0,0,0,0,"7","6","2","2","0","1","6","2"
"103",0,"18/08/2007",0,0,8,-33273015,1,0,0,0,"NULL","NULL","NULL",0,0,0,0,1,0,0,"0","0","0","0","0","0","0","0"
"104",0,"28/09/2012",1,1,9,-37667937,1,0,19,4,"1","0","207515725",1,0,0,0,0,0,0,"3","1","0","0","0","0","1","0"
"105",0,"20/02/2014",0,0,2,-15309317,1,0,0,0,"NULL","NULL","NULL",1,0,0,0,0,0,0,"1","2","0","0","0","0","0","0"
"106",10900000,"08/09/2013",1,1,9,-37667937,1,0,1,11,"1","0","36160375",0,0,0,0,0,0,0,"6","4","1","2","0","1","0","0"
"107",3.1e+07,"21/01/2010",1,1,1,-50746591,1,0,32,4,"0","1","786636033",2,0,0,0,0,0,0,"3","2","0","1","0","1","3","0"
"108",7.2e+07,"24/05/1995",1,1,5,21757736,1,0,16,0,"0","1","120207127",1,0,0,1,0,0,0,"13","7","3","2","0","0","1","0"
"109",1.4e+07,"15/04/1999",1,1,4,-28405871,2,0,1,4,"1","0","82150642",0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"110",1.5e+07,"10/10/1966",1,1,10,-28659422,1,0,2,1,"1","0","102272727",0,0,0,0,0,0,0,"2","0","0","0","0","0","2","0"
"111",7.5e+07,"12/10/2001",1,1,10,-28659422,1,0,24,3,"0","1","296000000",9,0,0,0,1,0,0,"14","8","4","1","0","0","5","0"
"112",3.5e+07,"06/08/2004",1,1,8,-33273015,1,0,8,4,"1","0","100020092",0,0,0,0,0,0,0,"3","11","0","0","0","1","3","0"
"113",1e+08,"20/11/2015",1,1,11,31944703,1,0,12,1,"0","1","1519557910",17,0,0,1,0,0,0,"13","12","5","25","0","0","2","1"
"114",2e+07,"25/03/1988",1,1,3,-7149862,1,0,4,4,"0","1","70136369",4,0,0,0,0,0,0,"1","1","0","0","0","0","2","0"
"115",9.3e+07,"18/12/2001",1,1,12,32322910,2,0,10,2,"0","1","332000000",3,1,0,0,0,0,0,"7","2","0","1","0","0","3","2"
"116",2.5e+07,"31/05/2002",1,1,5,21757736,1,0,5,3,"0","1","102244770",1,0,0,0,0,0,0,"0","0","0","0","0","0","1","0"
"117",0,"01/11/2012",0,0,11,31944703,1,0,13,3,"0","1","550000000",1,0,0,0,0,0,0,"0","2","0","1","0","0","0","0"
"118",0,"02/03/2007",1,1,3,-7149862,1,0,10,6,"0","1","461983149",1,0,0,0,0,0,0,"0","0","0","0","0","0","2","0"
"119",0,"18/06/1993",1,1,6,74205073,1,0,3,3,"0","1","53208180",0,0,0,0,0,0,0,"2","0","0","0","0","1","1","1"
"120",12716953,"31/01/1997",0,1,1,-50746591,2,0,9,0,"0","1","72179579",1,0,0,0,1,0,0,"0","0","0","0","0","0","0","0"
"121",9e+07,"03/08/2001",1,1,8,-33273015,1,0,4,5,"0","1","263920180",1,0,0,0,1,0,0,"1","0","0","0","0","0","1","0"
"122",1.5e+08,"18/06/1999",1,1,6,74205073,1,0,7,6,"0","1","505000000",0,0,0,0,0,0,1,"1","0","0","7","0","0","2","0"
"123",1500000,"09/02/1990",1,0,2,-15309317,1,0,17,5,"0","1","190458706",5,0,0,0,1,1,0,"12","7","4","0","0","0","2","0"
"124",2.5e+07,"20/03/2000",1,1,3,-7149862,1,0,9,0,"0","1","30399676",0,0,0,0,1,0,0,"0","0","0","0","0","0","1","0"
"125",7500000,"17/07/2009",1,1,7,40981593,1,0,12,9,"0","1","53478166",0,0,0,0,0,0,0,"3","2","0","0","0","1","2","0"
"126",4e+07,"03/07/2008",0,1,7,40981593,3,0,9,3,"0","1","85306374",6,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"127",0,"02/06/1978",1,1,6,74205073,1,0,1,0,"0","1","NULL",0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"128",1e+07,"22/12/2000",1,1,12,32322910,1,0,3,9,"1","0","82150642",4,0,1,0,0,1,0,"8","3","0","3","1","1","1","0"
"129",1.8e+07,"14/10/2005",1,1,10,-28659422,1,0,1,0,"0","1","NULL",1,0,1,0,0,0,0,"4","1","0","0","0","0","3","1"
"130",2400000,"16/10/1996",1,1,10,-28659422,1,0,5,8,"0","1","NULL",6,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"131",4e+06,"24/07/2013",1,1,7,40981593,1,0,17,0,"0","1","226497209",0,0,0,0,0,0,0,"0","0","0","0","0","0","1","0"
"132",6e+06,"01/01/2011",1,1,1,-50746591,1,0,11,1,"0","1","961000000",0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"133",0,"02/09/2000",1,0,9,-37667937,4,0,20,0,"0","1","91188905",0,0,0,1,0,0,0,"0","0","0","0","0","0","0","0"
"134",6.5e+07,"04/11/2010",1,1,11,31944703,1,0,29,8,"0","1","141591324",5,0,0,0,0,0,0,"5","1","1","0","1","1","2","0"
"135",1e+07,"06/09/2007",1,1,9,-37667937,1,0,5,3,"0","1","NULL",0,0,0,0,0,0,0,"0","0","0","0","0","0","2","0"
"136",2e+06,"29/06/2006",1,1,6,74205073,1,0,0,0,"0","1","NULL",1,0,0,0,0,0,0,"2","4","0","0","0","0","1","0"
"137",0,"25/05/2012",1,1,5,21757736,1,0,11,0,"1","0","106269971",0,0,0,0,0,0,1,"0","0","0","0","0","0","0","0"
"138",9e+06,"29/04/1994",1,1,4,-28405871,1,0,6,0,"0","1","21706101",0,0,0,0,0,0,0,"1","1","0","0","0","0","1","0"
"139",0,"05/02/2010",1,1,2,-15309317,1,0,1,2,"1","0","NULL",0,0,0,0,0,0,0,"3","4","1","2","0","1","2","0"
"140",1.1e+08,"24/04/2003",1,1,4,-28405871,1,0,12,3,"0","1","218613188",2,0,0,0,0,0,0,"4","1","0","2","0","1","1","0"
"141",14320000,"18/07/1968",1,1,7,40981593,1,0,3,2,"1","0","102272727",5,0,0,0,0,0,0,"3","1","0","0","0","0","0","0"
"142",0,"31/08/2003",1,1,8,-33273015,2,0,4,2,"1","0","186883563",0,0,0,0,0,0,0,"3","1","0","0","0","0","1","0"
"143",3500000,"22/01/2016",1,1,1,-50746591,1,0,0,0,"NULL","NULL","NULL",0,0,0,0,0,0,0,"0","0","0","0","0","0","0","1"
"144",1.8e+07,"05/11/2008",1,1,11,31944703,2,0,19,3,"0","1","119940815",1,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"145",4e+06,"26/10/1967",1,1,10,-28659422,1,0,7,0,"0","0","72070731",3,0,1,0,1,0,0,"3","3","0","0","0","1","0","0"
"146",0,"09/12/2016",1,1,12,32322910,1,0,31,10,"0","1","662845518",0,0,0,0,0,1,0,"7","6","2","0","0","1","0","0"
"147",0,"17/03/1988",1,1,3,-7149862,1,0,5,4,"0","1","55600000",1,0,0,0,1,0,0,"0","0","0","0","0","0","0","0"
"148",39200000,"01/08/2013",0,1,8,-33273015,4,0,15,0,"0","1","1519557910",2,0,0,0,0,0,0,"14","1","0","1","0","0","6","0"
"149",0,"03/04/1992",1,1,4,-28405871,1,0,6,1,"0","1","90614445",0,0,0,0,0,0,1,"0","0","0","0","0","0","0","1"
"150",2.5e+07,"28/03/2012",1,1,3,-7149862,2,0,24,0,"1","0","459359555",3,0,0,0,0,0,0,"6","7","1","6","0","0","0","0"
"151",0,"12/12/1980",1,1,12,32322910,1,0,0,0,"NULL","NULL","NULL",0,0,0,0,0,0,0,"3","1","0","0","0","0","0","0"
"152",0,"25/01/2016",1,0,1,-50746591,1,0,0,0,"NULL","NULL","NULL",0,0,0,0,0,0,0,"0","0","0","0","1","0","0","0"
"153",0,"01/01/1988",1,1,1,-50746591,1,0,0,2,"0","0","NULL",0,1,1,0,0,0,0,"0","0","0","0","0","0","1","0"
"154",4e+06,"23/01/2015",1,1,1,-50746591,1,0,21,2,"1","0","170128460",9,0,0,0,0,0,0,"4","4","1","0","0","0","3","0"
"155",0,"04/01/1983",1,1,1,-50746591,1,0,1,0,"0","1","NULL",0,0,0,0,1,0,0,"0","0","0","0","0","0","0","0"
"156",2e+07,"14/02/2002",1,1,2,-15309317,3,0,0,0,"1","0","NULL",0,1,0,0,0,0,1,"0","0","0","5","0","0","0","0"
"157",3500000,"05/03/2005",0,0,3,-7149862,1,1,2,0,"0","1","NULL",0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"158",0,"07/01/1994",1,0,1,-50746591,1,0,0,0,"NULL","NULL","NULL",1,0,0,0,0,0,0,"2","1","0","0","0","0","0","0"
"159",63600000,"06/10/2000",1,1,10,-28659422,1,0,31,3,"0","1","300400432",0,0,0,0,1,0,0,"1","0","0","0","0","0","0","0"
"160",3.2e+07,"09/02/1995",1,1,2,-15309317,2,0,11,7,"1","0","352927224",3,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"161",3500000,"07/02/2006",1,1,2,-15309317,1,0,5,9,"1","0","NULL",0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"162",0,"22/04/1988",1,1,4,-28405871,1,0,7,1,"1","0","87987055",0,0,0,0,0,0,0,"0","0","0","0","0","0","0","1"
"163",125000,"11/09/2011",1,1,9,-37667937,1,0,1,10,"0","1","NULL",0,0,0,0,0,0,0,"1","0","0","0","0","1","0","1"
"164",9e+06,"17/09/1998",1,1,9,-37667937,1,0,0,0,"0","1","NULL",1,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"165",4e+07,"05/04/2007",1,1,4,-28405871,1,0,8,2,"1","0","49111202",7,0,1,0,0,0,0,"0","2","0","1","0","0","2","0"
"166",0,"01/01/1989",1,1,1,-50746591,1,0,3,0,"1","0","36565280",2,1,0,0,0,0,0,"0","0","0","0","0","0","1","0"
"167",0,"06/06/1982",1,1,6,74205073,1,0,0,0,"0","0","NULL",0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"168",1.9e+07,"09/09/2005",1,1,9,-37667937,1,0,12,4,"1","0","264118201",0,0,1,0,1,0,0,"10","7","1","3","0","3","2","0"
"169",5e+06,"21/05/1975",1,0,5,21757736,1,0,4,1,"0","1","41744718",5,0,0,0,1,1,0,"3","3","0","0","0","0","0","0"
"170",2e+06,"24/12/1981",1,1,12,32322910,1,0,3,0,"0","1","NULL",1,0,0,0,0,0,0,"1","1","0","0","0","0","0","0"
"171",0,"28/03/1985",1,1,3,-7149862,1,0,1,1,"0","1","NULL",0,0,0,0,1,0,0,"0","0","0","0","0","0","0","0"
"172",0,"11/10/1987",1,1,10,-28659422,1,0,3,1,"1","0","70600000",0,0,0,0,1,1,0,"0","0","0","0","0","0","0","0"
"173",3500000,"23/02/1966",1,1,2,-15309317,1,0,6,0,"0","1","7600000",0,0,0,0,1,1,0,"2","0","0","0","0","0","0","0"
"174",1.1e+07,"02/08/1991",1,1,8,-33273015,1,0,0,0,"NULL","NULL","NULL",0,0,0,0,0,0,0,"2","2","0","0","0","0","0","0"
"175",12468389,"14/10/2011",1,0,10,-28659422,2,0,3,1,"1","0","NULL",1,0,0,0,0,0,0,"0","1","0","0","0","0","0","0"
"176",3.8e+07,"22/06/2001",1,1,6,74205073,2,0,4,3,"0","1","103166989",4,0,0,0,1,0,0,"14","10","8","11","0","1","3","0"
"177",9e+07,"14/01/2000",1,1,1,-50746591,2,0,8,7,"0","1","43848069",12,0,1,0,0,0,0,"15","2","0","7","0","2","1","0"
"178",0,"07/03/1997",1,0,3,-7149862,1,0,0,0,"0","1","NULL",0,0,0,0,0,0,0,"0","0","0","0","0","0","3","0"
"179",1.5e+07,"22/10/1982",1,1,10,-28659422,1,0,12,1,"0","1","270000000",1,0,0,0,0,0,0,"5","4","2","0","0","0","1","0"
