id,season,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt_train,cnt_model,cnt_train_test,cnt_model1
18,1,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,683,3478.299044,1948.845932,1839.266119
19,1,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,1650,3230.751492,2440.142003,1252.033255
20,1,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,1927,3252.172967,1378.094889,1504.70184
21,1,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,1543,2850.151852,1784.114941,453.9188757
22,1,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,981,2867.360433,1858.714866,8.860540214
23,1,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,986,3103.756774,1942.164935,1172.020346
24,1,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,1416,3447.008876,2116.272575,1531.075891
25,1,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,1985,3399.147043,2724.660447,1467.650462
26,1,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,506,3464.652099,2921.494214,1949.524473
27,1,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,431,3652.330943,1635.558319,1827.46431
28,1,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,1167,3324.456949,1591.75882,1961.456185
29,1,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,1098,3303.766257,4220.065308,1704.939811
30,1,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,1096,3333.546218,2266.401492,1697.814957
31,1,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,1501,3634.464239,3241.402241,2151.07357
32,1,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,1360,3777.415545,3472.281656,2861.3409
33,1,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,1526,3638.896877,1907.071126,2247.763453
34,1,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,1550,3465.088613,3880.260131,2004.943303
35,1,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,1708,2991.179546,3325.174554,1348.574033
36,1,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,1005,3058.91067,3943.856647,812.0422712
37,1,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,1623,3311.480346,3720.948164,1697.964351
38,1,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,1712,3520.244106,4278.792508,2258.36581
39,1,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,1530,3233.437179,4302.492953,1605.325118
40,1,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,1605,3348.133303,4404.311062,1655.528505
41,1,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,1538,3345.24521,4378.884752,1930.387836
42,1,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,1746,3008.243887,4295.207023,585.771887
43,1,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,1472,3045.423662,4398.5458,716.8769371
44,1,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,1589,3205.275285,4332.485097,1756.997033
45,1,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,1913,3416.662205,4813.957367,2030.711715
46,1,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,1815,3535.7198,4827.787937,2171.493201
47,1,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,2115,3392.745528,4742.970662,1996.063504
48,1,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,2475,3528.95161,3847.028845,2056.433138
49,1,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,2927,3370.788252,4863.032427,2367.796899
50,1,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,1635,3206.795874,5139.977359,830.5926033
51,1,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,1812,2949.182635,4577.611877,1914.70771
52,1,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,1107,3367.10028,4786.685103,1710.331871
53,1,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,1450,3640.831438,5036.712665,2364.734477
54,1,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,1917,3758.77804,5135.741843,2790.810267
55,1,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,1807,3631.265676,5081.377272,2174.801986
56,1,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,1461,3377.998033,4624.557869,1573.231969
57,1,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,1969,3236.495074,4237.779504,1713.914234
58,1,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,2402,3526.92855,5060.796924,2161.254655
59,1,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,1446,3546.076546,5317.210866,2342.747739
60,1,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,1851,3456.23816,5214.386764,1849.491424
61,1,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,2134,3783.386655,4129.93159,3193.883824
62,1,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,1685,3490.938394,4144.152596,2346.80835
63,1,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,1944,3429.567864,3832.421397,2570.915798
64,1,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,2077,3393.136104,4397.665078,1866.778669
65,1,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,605,3212.454627,5006.790567,1766.347013
66,1,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,1872,3285.4558,4264.100779,1967.777804
67,1,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,2133,3634.974102,4348.927866,2649.751792
68,1,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,1891,3731.081459,4664.07937,3275.115456
69,1,3,0,4,1,3,0.389091,0.385668,0,0.261877,623,3550.552623,4712.167973,2163.922383
70,1,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,1977,3273.587634,4918.594138,1989.323825
71,1,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,2132,3369.085545,4021.831046,2313.443147
72,1,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,2417,3679.342862,5207.626302,2995.160815
73,1,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,2046,3817.446726,4959.919514,3447.552286
74,1,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,2056,3794.362039,4955.449551,3655.517733
75,1,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,2192,3831.234946,4813.274579,3627.302116
76,1,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,2744,3672.419467,4033.005676,2859.250988
77,1,3,0,5,1,1,0.54,0.527009,0.525217,0.231017,3239,3500.106926,3595.257648,3521.400159
78,1,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,3117,3284.165658,4457.497375,2757.401546
79,1,3,0,0,0,1,0.3325,0.32575,0.47375,0.207721,2471,3748.327669,4114.466393,3285.67783
80,2,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,2077,3780.626235,4095.190221,3447.836092
81,2,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,2703,3498.450917,3434.727377,3565.883362
82,2,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,2121,3576.173982,2998.15791,3742.031721
83,2,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,1865,3637.08758,5012.443361,3868.705581
84,2,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,2210,3268.026961,5007.097674,3595.894776
85,2,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,2496,3116.088336,2230.883166,2759.129398
86,2,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,1693,3561.109853,3399.679115,3037.022314
87,2,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204,2028,3355.871028,4472.130199,2739.329658
88,2,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996,2425,3652.543425,4876.830846,3611.370382
89,2,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,1536,3698.507479,4399.016397,3845.655407
90,2,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,1685,3319.625604,4210.750294,2713.993172
91,2,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,2227,3274.149627,1316.824199,2873.718835
92,2,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,2252,3177.257217,4230.979898,3005.016791
93,2,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,3249,3480.253422,3786.704697,3208.471586
94,2,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,3115,3529.840369,4195.493766,3853.395411
95,2,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,1795,3630.090171,4311.19006,4248.076909
96,2,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,2808,3569.023022,3339.205478,3891.373552
97,2,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312,3141,3524.369878,1803.29427,3738.408947
98,2,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,1471,3579.857239,3465.648588,3828.714272
99,2,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083,2455,3606.971932,3111.265552,4062.799352
100,2,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,2895,3645.107778,3669.419781,3737.397965
101,2,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,3348,3533.432936,3938.657173,3604.391212
102,2,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,2034,3357.607007,3771.548679,2955.499253
103,2,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,2162,3468.447966,3437.690185,3463.195448
104,2,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,3267,3518.245873,3540.499108,3985.318042
105,2,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,3126,3443.966563,2244.38575,4475.059227
106,2,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,795,3453.579063,1760.67858,4453.459132
107,2,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,3744,3487.150971,3346.681706,4085.986045
108,2,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,3429,3673.188155,3161.014309,4335.133952
109,2,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,3204,3445.570013,2029.420821,3352.365737
110,2,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,3944,3478.617143,2355.139833,4049.729711
111,2,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,4189,3533.782956,,4145.811723
112,2,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,1683,3426.316321,,4298.385795
113,2,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,4036,3075.573889,,1228.95843
114,2,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,4191,3062.824919,,1708.389002
115,2,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,4073,3442.560585,,3354.077425
116,2,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,4400,3512.466397,,3995.567696
117,2,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,3872,3414.696657,,3480.412519
118,2,4,0,4,1,2,0.6175,0.578929,0.700833,0.320908,4058,3561.147718,,4051.383968
119,2,4,0,5,1,1,0.51,0.497463,0.457083,0.240063,4595,3149.22393,,3284.18444
120,2,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,5312,3247.96961,,3930.008776
121,2,5,0,0,0,2,0.451667,0.448204,0.762083,0.106354,3351,3402.586654,,3222.700802
122,2,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,4401,3442.709913,,4199.334251
123,2,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,4451,3440.269828,,4252.941297
124,2,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,2633,3419.50683,,4075.685403
125,2,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,4433,3487.29577,,4650.880429
126,2,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,4608,3227.075282,,4521.376905
127,2,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,4714,3127.423208,,4195.334491
128,2,5,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,4333,3400.377437,,3697.324085
129,2,5,0,1,1,1,0.5325,0.525246,0.58875,0.176,4362,3428.460871,,3828.569394
130,2,5,0,2,1,1,0.5325,0.522721,0.489167,0.115671,4803,3404.626327,,3977.240494
131,2,5,0,3,1,1,0.5425,0.5284,0.632917,0.120642,4182,3489.534677,,4239.655276
132,2,5,0,4,1,1,0.535,0.523363,0.7475,0.189667,4864,3562.528248,,4719.080889
133,2,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725,4105,3337.132607,,5047.680053
134,2,5,0,6,0,2,0.520833,0.500629,0.9225,0.13495,3409,3305.639486,,4500.265538
135,2,5,0,0,0,2,0.5625,0.536,0.867083,0.152979,4553,3374.867649,,3898.071254
136,2,5,0,1,1,1,0.5775,0.550512,0.787917,0.126871,3958,3379.610535,,4225.159487
137,2,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,4123,3432.178288,,4567.824042
138,2,5,0,3,1,2,0.55,0.527158,0.87,0.201492,3855,3517.146035,,4701.870906
139,2,5,0,4,1,2,0.530833,0.510742,0.829583,0.108213,4575,3487.413321,,4723.713353
140,2,5,0,5,1,1,0.536667,0.529042,0.719583,0.125013,4917,3285.197946,,5186.747129
141,2,5,0,6,0,1,0.6025,0.571975,0.626667,0.12065,5805,3349.236636,,4434.522294
142,2,5,0,0,0,1,0.604167,0.5745,0.749583,0.148008,4660,3364.530172,,3973.386992
143,2,5,0,1,1,2,0.631667,0.590296,0.81,0.233842,4274,3365.18538,,4275.898733
144,2,5,0,2,1,2,0.66,0.604813,0.740833,0.207092,4492,3364.458383,,4329.716726
145,2,5,0,3,1,1,0.660833,0.615542,0.69625,0.154233,4978,3422.58186,,4646.300761
146,2,5,0,4,1,1,0.708333,0.654688,0.6775,0.199642,4677,3404.584304,,4683.08868
147,2,5,0,5,1,1,0.681667,0.637008,0.65375,0.240679,4679,3190.910302,,4883.64593
148,2,5,0,6,0,1,0.655833,0.612379,0.729583,0.230092,4758,3146.668144,,4577.126909
149,2,5,0,0,0,1,0.6675,0.61555,0.81875,0.213938,4788,2942.042553,,4515.084891
150,2,5,1,1,0,1,0.733333,0.671092,0.685,0.131225,4098,3367.794534,,4422.172366
151,2,5,0,2,1,1,0.775,0.725383,0.636667,0.111329,3982,3350.835622,,4326.763304
152,2,6,0,3,1,2,0.764167,0.720967,0.677083,0.207092,3974,3432.446806,,4774.492628
153,2,6,0,4,1,1,0.715,0.643942,0.305,0.292287,4968,3260.40122,,4211.821873
154,2,6,0,5,1,1,0.62,0.587133,0.354167,0.253121,5312,3281.845966,,4930.904254
155,2,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,5342,3269.422488,,4628.816776
156,2,6,0,0,0,2,0.648333,0.616804,0.6525,0.138692,4906,3428.969286,,4460.765192
157,2,6,0,1,1,1,0.678333,0.621858,0.6,0.121896,4548,3316.747958,,3970.147349
158,2,6,0,2,1,1,0.7075,0.65595,0.597917,0.187808,4833,3353.24888,,4677.17109
159,2,6,0,3,1,1,0.775833,0.727279,0.622083,0.136817,4401,3391.171257,,4898.472676
160,2,6,0,4,1,2,0.808333,0.757579,0.568333,0.149883,3915,3383.720269,,5021.494534
161,2,6,0,5,1,1,0.755,0.703292,0.605,0.140554,4586,3171.829232,,4950.043301
162,2,6,0,6,0,1,0.725,0.678038,0.654583,0.15485,4966,3102.071629,,4727.895079
163,2,6,0,0,0,1,0.6925,0.643325,0.747917,0.163567,4460,3247.279489,,4346.15018
164,2,6,0,1,1,1,0.635,0.601654,0.494583,0.30535,5020,3255.526666,,4348.700561
165,2,6,0,2,1,1,0.604167,0.591546,0.507083,0.269283,4891,3375.909197,,4709.558796
166,2,6,0,3,1,1,0.626667,0.587754,0.471667,0.167912,5180,3351.381165,,4863.241534
167,2,6,0,4,1,2,0.628333,0.595346,0.688333,0.206471,3767,3345.204077,,4946.341668
168,2,6,0,5,1,1,0.649167,0.600383,0.735833,0.143029,4844,3234.604664,,5052.108621
169,2,6,0,6,0,1,0.696667,0.643954,0.670417,0.119408,5119,3154.54887,,4678.410535
170,2,6,0,0,0,2,0.699167,0.645846,0.666667,0.102,4744,3254.136398,,4080.735923
171,2,6,0,1,1,2,0.635,0.595346,0.74625,0.155475,4010,3262.062837,,4594.992817
172,3,6,0,2,1,2,0.680833,0.637646,0.770417,0.171025,4835,3105.00869,,4414.438312
173,3,6,0,3,1,1,0.733333,0.693829,0.7075,0.172262,4507,2861.51516,,4194.238157
174,3,6,0,4,1,2,0.728333,0.693833,0.703333,0.238804,4790,2949.480592,,4543.837734
175,3,6,0,5,1,1,0.724167,0.656583,0.573333,0.222025,4991,2951.991837,,5133.317497
176,3,6,0,6,0,1,0.695,0.643313,0.483333,0.209571,5202,3030.132891,,5060.608028
177,3,6,0,0,0,1,0.68,0.637629,0.513333,0.0945333,5305,3229.758988,,4694.129411
178,3,6,0,1,1,2,0.6825,0.637004,0.658333,0.107588,4708,3378.244653,,5075.780944
179,3,6,0,2,1,1,0.744167,0.692558,0.634167,0.144283,4648,3297.599359,,5191.534276
180,3,6,0,3,1,1,0.728333,0.654688,0.497917,0.261821,5225,3096.273862,,4891.516728
181,3,6,0,4,1,1,0.696667,0.637008,0.434167,0.185312,5515,2806.472127,,4067.725571
182,3,7,0,5,1,1,0.7225,0.652162,0.39625,0.102608,5362,2827.842537,,4944.272883
183,3,7,0,6,0,1,0.738333,0.667308,0.444583,0.115062,5119,2807.270447,,4443.565657
184,3,7,0,0,0,2,0.716667,0.668575,0.6825,0.228858,4649,3069.933468,,4568.980708
185,3,7,1,1,0,2,0.726667,0.665417,0.637917,0.0814792,6043,2976.176856,,4537.682093
186,3,7,0,2,1,1,0.746667,0.696338,0.590417,0.126258,4665,2484.677431,,5014.215192
187,3,7,0,3,1,1,0.72,0.685633,0.743333,0.149883,4629,2839.020447,,4313.69839
188,3,7,0,4,1,1,0.75,0.686871,0.65125,0.1592,4592,2791.813526,,4245.653451
189,3,7,0,5,1,2,0.709167,0.670483,0.757917,0.225129,4040,2586.622849,,3761.270676
190,3,7,0,6,0,1,0.733333,0.664158,0.609167,0.167912,5336,2682.913528,,4268.211002
191,3,7,0,0,0,1,0.7475,0.690025,0.578333,0.183471,4881,2980.386828,,4593.775173
192,3,7,0,1,1,1,0.7625,0.729804,0.635833,0.282337,4086,2923.936922,,4519.831156
193,3,7,0,2,1,1,0.794167,0.739275,0.559167,0.200254,4258,2980.887454,,4830.478992
194,3,7,0,3,1,1,0.746667,0.689404,0.631667,0.146133,4342,2997.97549,,4985.18625
195,3,7,0,4,1,1,0.680833,0.635104,0.47625,0.240667,5084,2874.244623,,4176.920123
196,3,7,0,5,1,1,0.663333,0.624371,0.59125,0.182833,5538,2729.896858,,4518.427624
197,3,7,0,6,0,1,0.686667,0.638263,0.585,0.208342,5923,2761.847978,,4768.141089
198,3,7,0,0,0,1,0.719167,0.669833,0.604167,0.245033,5302,2944.260271,,4285.811875
199,3,7,0,1,1,1,0.746667,0.703925,0.65125,0.215804,4458,2833.427808,,4130.953837
200,3,7,0,2,1,1,0.776667,0.747479,0.650417,0.1306,4541,2823.66932,,4317.016667
201,3,7,0,3,1,1,0.768333,0.74685,0.707083,0.113817,4332,2859.832149,,4578.754502
202,3,7,0,4,1,2,0.815,0.826371,0.69125,0.222021,3784,2766.618009,,4031.230845
203,3,7,0,5,1,1,0.848333,0.840896,0.580417,0.1331,3387,2653.695318,,2658.779516
204,3,7,0,6,0,1,0.849167,0.804287,0.5,0.131221,3285,2788.320409,,5179.621865
205,3,7,0,0,0,1,0.83,0.794829,0.550833,0.169171,3606,2967.63971,,4371.735989
206,3,7,0,1,1,1,0.743333,0.720958,0.757083,0.0908083,3840,2920.195854,,4508.538209
207,3,7,0,2,1,1,0.771667,0.696979,0.540833,0.200258,4590,3035.086386,,5022.279716
208,3,7,0,3,1,1,0.775,0.690667,0.402917,0.183463,4656,2857.669321,,4563.500862
209,3,7,0,4,1,1,0.779167,0.7399,0.583333,0.178479,4390,2794.300155,,4453.456047
210,3,7,0,5,1,1,0.838333,0.785967,0.5425,0.174138,3846,2741.347752,,4875.397434
211,3,7,0,6,0,1,0.804167,0.728537,0.465833,0.168537,4475,2858.479006,,4982.940821
212,3,7,0,0,0,1,0.805833,0.729796,0.480833,0.164813,4302,2972.098932,,4440.546151
213,3,8,0,1,1,1,0.771667,0.703292,0.550833,0.156717,4266,2939.728536,,4612.686701
214,3,8,0,2,1,1,0.783333,0.707071,0.49125,0.20585,4845,2866.881007,,4738.527268
215,3,8,0,3,1,2,0.731667,0.679937,0.6575,0.135583,3574,2786.811652,,4561.288537
216,3,8,0,4,1,2,0.71,0.664788,0.7575,0.19715,4576,2679.665461,,3964.385004
217,3,8,0,5,1,1,0.710833,0.656567,0.630833,0.184696,4866,2679.419571,,3897.371285
218,3,8,0,6,0,2,0.716667,0.676154,0.755,0.22825,4294,2748.740071,,3996.887878
219,3,8,0,0,0,1,0.7425,0.715292,0.752917,0.201487,3785,2825.105847,,4418.805107
220,3,8,0,1,1,1,0.765,0.703283,0.592083,0.192175,4326,2784.028518,,4380.496399
221,3,8,0,2,1,1,0.775,0.724121,0.570417,0.151121,4602,2731.090811,,4208.199907
222,3,8,0,3,1,1,0.766667,0.684983,0.424167,0.200258,4780,2795.656336,,4647.304988
223,3,8,0,4,1,1,0.7175,0.651521,0.42375,0.164796,4792,2698.477624,,4093.48548
224,3,8,0,5,1,1,0.708333,0.654042,0.415,0.125621,4905,2675.770339,,4040.586784
225,3,8,0,6,0,2,0.685833,0.645858,0.729583,0.211454,4150,2894.932637,,5151.300232
226,3,8,0,0,0,2,0.676667,0.624388,0.8175,0.222633,3820,2972.015116,,4702.771638
227,3,8,0,1,1,1,0.665833,0.616167,0.712083,0.208954,4338,2864.930812,,4604.053795
228,3,8,0,2,1,1,0.700833,0.645837,0.578333,0.236329,4725,2882.876771,,4888.4151
229,3,8,0,3,1,1,0.723333,0.666671,0.575417,0.143667,4694,2882.193497,,5005.03575
230,3,8,0,4,1,1,0.711667,0.662258,0.654583,0.233208,3805,2937.451075,,5083.431837
231,3,8,0,5,1,2,0.685,0.633221,0.722917,0.139308,4153,2789.783759,,5169.922449
232,3,8,0,6,0,1,0.6975,0.648996,0.674167,0.104467,5191,2780.591868,,5080.644173
233,3,8,0,0,0,1,0.710833,0.675525,0.77,0.248754,3873,2902.05398,,4618.903573
234,3,8,0,1,1,1,0.691667,0.638254,0.47,0.27675,4758,2938.787055,,4863.098684
235,3,8,0,2,1,1,0.640833,0.606067,0.455417,0.146763,5895,2878.390356,,4899.996405
236,3,8,0,3,1,1,0.673333,0.630692,0.605,0.253108,5130,2838.357731,,4925.364593
237,3,8,0,4,1,2,0.684167,0.645854,0.771667,0.210833,3542,2747.239164,,4226.849502
238,3,8,0,5,1,1,0.7,0.659733,0.76125,0.0839625,4661,2694.944407,,3861.557685
239,3,8,0,6,0,2,0.68,0.635556,0.85,0.375617,1115,2689.426685,,4334.814328
240,3,8,0,0,0,1,0.707059,0.647959,0.561765,0.304659,4334,2910.906322,,4499.720977
241,3,8,0,1,1,1,0.636667,0.607958,0.554583,0.159825,4634,2875.250062,,4735.052357
242,3,8,0,2,1,1,0.639167,0.594704,0.548333,0.125008,5204,2897.101695,,5029.19366
243,3,8,0,3,1,1,0.656667,0.611121,0.597917,0.0833333,5058,2824.676599,,4899.774304
244,3,9,0,4,1,1,0.655,0.614921,0.639167,0.141796,5115,2743.839032,,4693.603273
245,3,9,0,5,1,2,0.643333,0.604808,0.727083,0.139929,4727,2559.855822,,4203.031015
246,3,9,0,6,0,1,0.669167,0.633213,0.716667,0.185325,4484,2670.435959,,5003.022666
247,3,9,0,0,0,1,0.709167,0.665429,0.742083,0.206467,4940,2217.057182,,4536.905904
248,3,9,1,1,0,2,0.673333,0.625646,0.790417,0.212696,3351,2766.625817,,4384.934326
249,3,9,0,2,1,3,0.54,0.5152,0.886957,0.343943,2710,2713.999929,,4426.809517
250,3,9,0,3,1,3,0.599167,0.544229,0.917083,0.0970208,1996,2646.370266,,4091.58234
251,3,9,0,4,1,3,0.633913,0.555361,0.939565,0.192748,1842,2698.630053,,4674.165392
252,3,9,0,5,1,2,0.65,0.578946,0.897917,0.124379,3544,2604.391791,,3233.696788
253,3,9,0,6,0,1,0.66,0.607962,0.75375,0.153608,5345,2882.266805,,4733.895225
254,3,9,0,0,0,1,0.653333,0.609229,0.71375,0.115054,5046,2959.440444,,4839.494385
255,3,9,0,1,1,1,0.644348,0.60213,0.692174,0.088913,4713,2936.584712,,5133.197974
256,3,9,0,2,1,1,0.650833,0.603554,0.7125,0.141804,4763,2875.111607,,5160.173055
257,3,9,0,3,1,1,0.673333,0.6269,0.697083,0.1673,4785,2816.490702,,5117.328402
258,3,9,0,4,1,2,0.5775,0.553671,0.709167,0.271146,3659,2764.563464,,5026.565679
259,3,9,0,5,1,2,0.469167,0.461475,0.590417,0.164183,4760,2838.009338,,4894.889196
260,3,9,0,6,0,2,0.491667,0.478512,0.718333,0.189675,4511,2873.900096,,5126.393584
261,3,9,0,0,0,1,0.5075,0.490537,0.695,0.178483,4274,2814.77561,,4469.870917
262,3,9,0,1,1,2,0.549167,0.529675,0.69,0.151742,4539,2682.798525,,3773.826755
263,3,9,0,2,1,2,0.561667,0.532217,0.88125,0.134954,3641,2886.886582,,5114.888786
264,3,9,0,3,1,2,0.595,0.550533,0.9,0.0964042,4352,2806.777184,,5107.427961
265,3,9,0,4,1,2,0.628333,0.554963,0.902083,0.128125,4795,2750.478063,,5035.715244
266,4,9,0,5,1,2,0.609167,0.522125,0.9725,0.0783667,2395,2739.985643,,4431.016016
267,4,9,0,6,0,2,0.606667,0.564412,0.8625,0.0783833,5423,2889.157731,,4965.256278
